Tag,Ball-Powder Ratio,Jar,20mm Run Time (Hours),10mm Run Time (Hours),6mm Run Time (Hours),Total Run Time (Hours),Circ.,Feret,AR,Round
A4,15:1,,32.0,0.0,0.0,32.0,0.627,142.562,1.767,0.566
A4,15:1,,32.0,0.0,0.0,32.0,0.76,77.897,1.099,0.91
A4,15:1,,32.0,0.0,0.0,32.0,0.696,115.256,1.176,0.85
A4,15:1,,32.0,0.0,0.0,32.0,0.731,53.075,1.512,0.661
A4,15:1,,32.0,0.0,0.0,32.0,0.741,118.258,1.096,0.913
A4,15:1,,32.0,0.0,0.0,32.0,1.0,8.062,1.009,0.991
A4,15:1,,32.0,0.0,0.0,32.0,0.658,95.88,1.375,0.727
A4,15:1,,32.0,0.0,0.0,32.0,0.667,97.514,1.602,0.624
A4,15:1,,32.0,0.0,0.0,32.0,0.675,139.646,1.166,0.858
A4,15:1,,32.0,0.0,0.0,32.0,0.584,176.777,1.634,0.612
A4,15:1,,32.0,0.0,0.0,32.0,0.633,19.313,1.24,0.807
A4,15:1,,32.0,0.0,0.0,32.0,0.612,50.961,1.877,0.533
A4,15:1,,32.0,0.0,0.0,32.0,0.807,51.662,1.356,0.737
A4,15:1,,32.0,0.0,0.0,32.0,0.599,111.83,1.684,0.594
A4,15:1,,32.0,0.0,0.0,32.0,0.636,153.052,1.577,0.634
A4,15:1,,32.0,0.0,0.0,32.0,0.66,112.379,1.298,0.771
A4,15:1,,32.0,0.0,0.0,32.0,0.61,172.986,1.163,0.86
A4,15:1,,32.0,0.0,0.0,32.0,0.653,79.48,1.647,0.607
A4,15:1,,32.0,0.0,0.0,32.0,0.601,130.969,1.57,0.637
A4,15:1,,32.0,0.0,0.0,32.0,0.712,200.205,1.457,0.686
A4,15:1,,32.0,0.0,0.0,32.0,0.598,161.722,1.169,0.856
A4,15:1,,32.0,0.0,0.0,32.0,0.563,179.513,1.116,0.896
A4,15:1,,32.0,0.0,0.0,32.0,0.678,89.499,1.686,0.593
A4,15:1,,32.0,0.0,0.0,32.0,0.706,66.189,1.438,0.696
A4,15:1,,32.0,0.0,0.0,32.0,0.337,12.806,3.798,0.263
A4,15:1,,32.0,0.0,0.0,32.0,0.705,82.71,1.206,0.829
A4,15:1,,32.0,0.0,0.0,32.0,0.68,124.036,1.364,0.733
A4,15:1,,32.0,0.0,0.0,32.0,0.692,28.636,1.4,0.714
A4,15:1,,32.0,0.0,0.0,32.0,0.583,108.467,1.481,0.675
A4,15:1,,32.0,0.0,0.0,32.0,0.725,89.627,1.342,0.745
